OilRate,WaterRate,GasRate,GOR,TBGTemp,TBGPress,DiffPress,Temperature,Pressure
3612,0,2388,661,206,290,126,72,251
3612,0,2475,685,206,292,49,169,265
3610,0,2459,681,206,290,44,173,261
3610,0,2484,688,206,292,101,71,256
3595,0,2450,681,206,291,110,73,256
3598,0,2480,689,206,289,116,73,258
3613,0,2446,677,206,286,115,73,263
3618,0,2352,650,206,288,95,73,286
3610,0,2405,666,206,288,106,73,285
3624,0,2408,664,206,290,106,72,282
3622,0,2410,665,206,287,94,73,289
3614,0,2404,665,206,288,2,77,285
3358,330,2362,703,206,286,4,78,288
3350,330,2359,704,206,290,1579,143,300
3372,325,2357,699,206,291,899,178,301
3359,322,2349,699,206,288,966,159,293
3366,323,2352,699,205,290,10,77,289
3368,327,2351,698,206,285,1139,156,303
3370,328,2357,699,205,286,272,108,285
3360,327,2348,699,205,289,263,109,290
3370,326,2352,698,206,289,268,109,290
3366,330,2355,700,205,289,336,108,288
3360,329,2349,699,205,288,406,112,288
3335,329,2344,703,205,293,4073,143,329
3364,316,2359,701,205,286,977,159,290
3352,312,2308,689,206,294,215,175,281
3349,312,2313,691,205,291,6,111,278
3357,314,2229,664,205,287,6,109,276
3361,314,2223,661,205,285,65,119,281
3346,312,2214,662,205,289,35,119,285
